City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,mati,6.9551,126.2166,24.91,88,53,1.32,PH,1697300539
161,san julian,21.0167,-102.1667,21.18,48,78,3.85,MX,1697300540
162,lihue,21.9789,-159.3672,22.98,91,100,4.12,US,1697300540
163,nagqu,31.5,92.0,-0.92,49,97,1.7,CN,1697300541
164,yaren,-0.5472,166.916,28.81,73,18,3.5,NR,1697300541
165,guerrero negro,27.9769,-114.0611,20.84,71,32,3.61,MX,1697300542
166,shingu,33.7333,135.9833,17.7,94,100,2.55,JP,1697300542
167,bamboo flat,11.7,92.7167,26.05,94,40,0.0,IN,1697300542
168,lyakhavichy,53.0388,26.2656,19.76,51,19,6.05,BY,1697300542
169,sao felix do xingu,-6.6447,-51.995,39.42,20,21,2.3,BR,1697300543
170,armacao de buzios,-22.7469,-41.8817,23.03,85,100,4.72,BR,1697300479
171,villa del totoral,-30.8167,-63.7167,24.36,23,0,4.83,AR,1697300544
172,kruisfontein,-34.0033,24.7314,14.86,73,76,5.36,ZA,1697300544
173,sursk,53.0754,45.6846,10.8,64,34,4.46,RU,1697300545
174,iskateley,67.6803,53.1512,-2.21,93,63,1.79,RU,1697300545
175,mount pearl,47.5166,-52.7813,13.86,98,100,9.26,CA,1697300545
176,lorengau,-2.0226,147.2712,27.39,77,99,1.37,PG,1697300546
177,mokhsogollokh,61.4681,128.9203,-5.43,82,62,1.98,RU,1697300546
178,lazaro cardenas,17.9583,-102.2,28.66,75,36,1.2,MX,1697300546
179,antofagasta,-23.65,-70.4,18.6,61,2,4.4,CL,1697300529
180,fada n'gourma,12.0622,0.3578,38.06,19,35,3.45,BF,1697300547
181,basoko,1.2391,23.616,28.13,69,71,1.73,CD,1697300547
182,cabedelo,-6.9811,-34.8339,30.37,65,74,6.96,BR,1697300313
183,douarnenez,48.0954,-4.329,14.5,62,75,4.63,FR,1697300548
184,sao joao da barra,-21.6403,-41.0511,25.05,84,100,5.88,BR,1697300548
